Date,^NSEBANK,^NSEI
2024-09-12,51772.3984375,25388.900390625
2024-09-13,51938.05078125,25356.5
2024-09-16,52153.1484375,25383.75
2024-09-17,52188.6484375,25418.55078125
2024-09-18,52750.3984375,25377.55078125
2024-09-19,53037.6015625,25415.80078125
2024-09-20,53793.19921875,25790.94921875
2024-09-23,54105.80078125,25939.05078125
2024-09-24,53968.6015625,25940.400390625
2024-09-25,54101.6484375,26004.150390625
2024-09-26,54375.3515625,26216.05078125
2024-09-27,53834.30078125,26178.94921875
2024-09-30,52978.1015625,25810.849609375
2024-10-01,52922.6015625,25796.900390625
2024-10-03,51845.19921875,25250.099609375
2024-10-04,51462.05078125,25014.599609375
2024-10-07,50478.8984375,24795.75
2024-10-08,51021.0,25013.150390625
2024-10-09,51007.0,24981.94921875
2024-10-10,51530.8984375,24998.44921875
2024-10-11,51172.30078125,24964.25
2024-10-14,51816.8984375,25127.94921875
2024-10-15,51906.0,25057.349609375
2024-10-16,51801.05078125,24971.30078125
2024-10-17,51288.80078125,24749.849609375
2024-10-18,52094.19921875,24854.05078125
2024-10-21,51962.69921875,24781.099609375
2024-10-22,51257.1484375,24472.099609375
2024-10-23,51239.0,24435.5
2024-10-24,51531.1484375,24399.400390625
2024-10-25,50787.44921875,24180.80078125
2024-10-28,51259.30078125,24339.150390625
2024-10-29,52320.69921875,24466.849609375
2024-10-30,51807.5,24340.849609375
2024-10-31,51475.3515625,24205.349609375
2024-11-01,51673.8984375,24304.349609375
2024-11-04,51215.25,23995.349609375
2024-11-05,52207.25,24213.30078125
2024-11-06,52317.3984375,24484.05078125
2024-11-07,51916.5,24199.349609375
2024-11-08,51561.19921875,24148.19921875
2024-11-11,51876.75,24141.30078125
2024-11-12,51157.80078125,23883.44921875
2024-11-13,50088.3515625,23559.05078125
2024-11-14,50179.55078125,23532.69921875
2024-11-18,50363.80078125,23453.80078125
2024-11-19,50626.5,23518.5
2024-11-21,50372.8984375,23349.900390625
2024-11-22,51135.3984375,23907.25
2024-11-25,52207.5,24221.900390625
2024-11-26,52191.5,24194.5
2024-11-27,52301.80078125,24274.900390625
2024-11-28,51906.8515625,23914.150390625
2024-11-29,52055.6015625,24131.099609375
2024-12-02,52109.0,24276.05078125
2024-12-03,52695.75,24457.150390625
2024-12-04,53266.8984375,24467.44921875
2024-12-05,53603.55078125,24708.400390625
2024-12-06,53509.5,24677.80078125
2024-12-09,53407.75,24619.0
2024-12-10,53577.69921875,24610.05078125
2024-12-11,53391.3515625,24641.80078125
2024-12-12,53216.44921875,24548.69921875
2024-12-13,53583.80078125,24768.30078125
2024-12-16,53581.3515625,24668.25
2024-12-17,52834.80078125,24336.0
2024-12-18,52139.55078125,24198.849609375
2024-12-19,51575.69921875,23951.69921875
2024-12-20,50759.19921875,23587.5
2024-12-23,51317.6015625,23753.44921875
2024-12-24,51233.0,23727.650390625
2024-12-26,51170.69921875,23750.19921875
2024-12-27,51311.30078125,23813.400390625
2024-12-30,50952.75,23644.900390625
2024-12-31,50860.19921875,23644.80078125
2025-01-01,51060.6015625,23742.900390625
2025-01-02,51605.55078125,24188.650390625
2025-01-03,50988.80078125,24004.75
2025-01-06,49922.0,23616.05078125
2025-01-07,50202.1484375,23707.900390625
2025-01-08,49835.05078125,23688.94921875
2025-01-09,49503.5,23526.5
2025-01-10,48734.1484375,23431.5
2025-01-13,48041.25,23085.94921875
2025-01-14,48729.1484375,23176.05078125
2025-01-15,48751.69921875,23213.19921875
2025-01-16,49278.69921875,23311.80078125
2025-01-17,48540.6015625,23203.19921875
2025-01-20,49350.80078125,23344.75
2025-01-21,48570.8984375,23024.650390625
2025-01-22,48724.3984375,23155.349609375
2025-01-23,48589.0,23205.349609375
2025-01-24,48367.80078125,23092.19921875
2025-01-27,48064.6484375,22829.150390625
2025-01-28,48866.8515625,22957.25
2025-01-29,49165.94921875,23163.099609375
2025-01-30,49311.94921875,23249.5
2025-01-31,49587.19921875,23508.400390625
2025-02-01,49587.19921875,23482.150390625
2025-02-03,49210.55078125,23361.05078125
2025-02-04,50157.94921875,23739.25
2025-02-05,50343.05078125,23696.30078125
2025-02-06,50382.1015625,23603.349609375
2025-02-07,50158.8515625,23559.94921875
2025-02-10,49981.0,23381.599609375
2025-02-11,49403.3984375,23071.80078125
2025-02-12,49479.44921875,23045.25
2025-02-13,49359.8515625,23031.400390625
2025-02-14,49099.44921875,22929.25
2025-02-17,49258.8984375,22959.5
2025-02-18,49087.30078125,22945.30078125
2025-02-19,49570.1015625,22932.900390625
2025-02-20,49334.55078125,22913.150390625
2025-02-21,48981.19921875,22795.900390625
2025-02-24,48651.94921875,22553.349609375
2025-02-25,48608.3515625,22547.55078125
2025-02-27,48743.80078125,22545.05078125
2025-02-28,48344.69921875,22124.69921875
2025-03-03,48114.30078125,22119.30078125
2025-03-04,48245.19921875,22082.650390625
2025-03-05,48489.94921875,22337.30078125
2025-03-06,48627.69921875,22544.69921875
2025-03-07,48497.5,22552.5
2025-03-10,48216.80078125,22460.30078125
2025-03-11,47853.94921875,22497.900390625
2025-03-12,48056.6484375,22470.5
2025-03-13,48060.3984375,22397.19921875
2025-03-17,48354.1484375,22508.75
2025-03-18,49314.5,22834.30078125
2025-03-19,49702.6015625,22907.599609375
2025-03-20,50062.8515625,23190.650390625
2025-03-21,50593.55078125,23350.400390625
2025-03-24,51704.94921875,23658.349609375
2025-03-25,51607.94921875,23668.650390625
2025-03-26,51209.0,23486.849609375
2025-03-27,51575.8515625,23591.94921875
2025-03-28,51564.8515625,23519.349609375
2025-04-01,50827.5,23165.69921875
2025-04-02,51348.05078125,23332.349609375
2025-04-03,51597.3515625,23250.099609375
2025-04-04,51502.69921875,22904.44921875
2025-04-07,49860.1015625,22161.599609375
2025-04-08,50511.0,22535.849609375
2025-04-09,50240.1484375,22399.150390625
2025-04-11,51002.3515625,22828.55078125
2025-04-15,52379.5,23328.55078125
